,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Car_grouped,Rooms_grouped,zipcode,count,mean,std,min,max,median,mad
10,Abbotsford,411/8 Grosvenor St,2,u,700000.0,VB,Jellis,12/11/2016,2.5,3067.0,2.0,2.0,1.0,0.0,,1969.0,Yarra,-37.811,145.0067,Northern Metropolitan,4019.0,1.0,2,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
11,Abbotsford,40 Nicholson St,3,h,1350000.0,VB,Nelson,12/11/2016,2.5,3067.0,3.0,2.0,2.0,214.0,190.0,2005.0,Yarra,-37.8085,144.9964,Northern Metropolitan,4019.0,2.0,3,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
12,Abbotsford,123/56 Nicholson St,2,u,750000.0,S,Biggin,12/11/2016,2.5,3067.0,2.0,2.0,1.0,0.0,94.0,2009.0,Yarra,-37.8078,144.9965,Northern Metropolitan,4019.0,1.0,2,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
13,Abbotsford,45 William St,2,h,1172500.0,S,Biggin,13/08/2016,2.5,3067.0,2.0,1.0,1.0,195.0,,1969.0,Yarra,-37.8084,144.9973,Northern Metropolitan,4019.0,1.0,2,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
14,Abbotsford,7/20 Abbotsford St,1,u,441000.0,SP,Greg,14/05/2016,2.5,3067.0,1.0,1.0,1.0,0.0,,1969.0,Yarra,-37.8016,144.9988,Northern Metropolitan,4019.0,1.0,1,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
15,Abbotsford,16 William St,2,h,1310000.0,S,Jellis,15/10/2016,2.5,3067.0,2.0,1.0,2.0,238.0,97.0,1890.0,Yarra,-37.809,144.9976,Northern Metropolitan,4019.0,2.0,2,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
16,Abbotsford,42 Henry St,3,h,1200000.0,S,Jellis,16/07/2016,2.5,3067.0,3.0,2.0,1.0,113.0,110.0,1880.0,Yarra,-37.8056,144.993,Northern Metropolitan,4019.0,1.0,3,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
17,Abbotsford,78 Yarra St,3,h,1176500.0,S,LITTLE,16/07/2016,2.5,3067.0,2.0,1.0,1.0,138.0,105.0,1890.0,Yarra,-37.8021,144.9965,Northern Metropolitan,4019.0,1.0,3,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
18,Abbotsford,196 Nicholson St,3,h,955000.0,S,Collins,17/09/2016,2.5,3067.0,3.0,1.0,0.0,183.0,,1969.0,Yarra,-37.8022,144.9975,Northern Metropolitan,4019.0,0.0,3,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
19,Abbotsford,42 Valiant St,2,h,890000.0,S,Biggin,17/09/2016,2.5,3067.0,2.0,1.0,1.0,150.0,73.0,1985.0,Yarra,-37.8011,145.0004,Northern Metropolitan,4019.0,1.0,2,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
20,Abbotsford,3/72 Charles St,4,h,1330000.0,PI,Kay,18/03/2017,2.5,3067.0,4.0,2.0,2.0,780.0,135.0,1900.0,Yarra,-37.8073,144.9952,Northern Metropolitan,4019.0,2.0,4,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
21,Abbotsford,13/11 Nicholson St,3,t,900000.0,S,Beller,18/03/2017,2.5,3067.0,3.0,2.0,2.0,0.0,,2010.0,Yarra,-37.8093,144.9959,Northern Metropolitan,4019.0,2.0,3,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
22,Abbotsford,138/56 Nicholson St,3,u,1090000.0,S,Jellis,18/03/2017,2.5,3067.0,3.0,2.0,2.0,4290.0,27.0,1969.0,Yarra,-37.8078,144.9965,Northern Metropolitan,4019.0,2.0,3,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
23,Abbotsford,6/219 Nicholson St,2,u,500000.0,S,Collins,18/06/2016,2.5,3067.0,2.0,1.0,1.0,0.0,60.0,1970.0,Yarra,-37.8015,144.9972,Northern Metropolitan,4019.0,1.0,2,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
24,Abbotsford,52a William St,2,h,1100000.0,PI,Biggin,18/06/2016,2.5,3067.0,2.0,2.0,1.0,124.0,135.0,2013.0,Yarra,-37.8079,144.9977,Northern Metropolitan,4019.0,1.0,2,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
25,Abbotsford,49 Park St,2,h,1315000.0,S,Marshall,19/11/2016,2.5,3067.0,2.0,1.0,0.0,147.0,85.0,1900.0,Yarra,-37.808,144.994,Northern Metropolitan,4019.0,0.0,2,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
26,Abbotsford,5/20 Abbotsford St,1,u,426000.0,SP,Greg,22/08/2016,2.5,3067.0,1.0,1.0,1.0,0.0,,1969.0,Yarra,-37.8016,144.9988,Northern Metropolitan,4019.0,1.0,1,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
27,Abbotsford,48 Abbotsford St,3,h,1447500.0,PI,Nelson,22/08/2016,2.5,3067.0,3.0,3.0,1.0,166.0,174.0,2012.0,Yarra,-37.8017,145.0001,Northern Metropolitan,4019.0,1.0,3,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
28,Abbotsford,116/56 Nicholson St,1,u,457000.0,S,Jellis,22/08/2016,2.5,3067.0,1.0,1.0,1.0,0.0,50.0,1969.0,Yarra,-37.8078,144.9965,Northern Metropolitan,4019.0,1.0,1,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
29,Abbotsford,159 Park St,2,h,1135000.0,S,Nelson,22/08/2016,2.5,3067.0,2.0,2.0,2.0,98.0,128.0,1920.0,Yarra,-37.8005,144.9952,Northern Metropolitan,4019.0,2.0,2,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
30,Abbotsford,31 Turner St,4,h,1542000.0,S,Collins,24/09/2016,2.5,3067.0,4.0,3.0,1.0,0.0,,1969.0,Yarra,-37.7994,144.9965,Northern Metropolitan,4019.0,1.0,4,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
31,Abbotsford,166 Gipps St,3,h,1290000.0,S,Biggin,25/02/2017,2.5,3067.0,3.0,2.0,2.0,147.0,18.0,1969.0,Yarra,-37.805,144.9943,Northern Metropolitan,4019.0,2.0,3,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
32,Abbotsford,60 Stafford St,3,h,1290000.0,S,Biggin,25/02/2017,2.5,3067.0,3.0,1.0,1.0,168.0,124.0,1950.0,Yarra,-37.8007,144.9958,Northern Metropolitan,4019.0,1.0,3,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
33,Abbotsford,11/205 Gipps St,1,u,470000.0,S,Nelson,26/07/2016,2.5,3067.0,1.0,1.0,1.0,0.0,50.0,2013.0,Yarra,-37.8055,144.9961,Northern Metropolitan,4019.0,1.0,1,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
34,Abbotsford,47 Studley St,2,h,1180000.0,S,Jellis,27/11/2016,2.5,3067.0,2.0,1.0,0.0,162.0,91.0,1900.0,Yarra,-37.8016,144.9956,Northern Metropolitan,4019.0,0.0,2,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
35,Abbotsford,45 Yarra St,3,h,1195000.0,SP,Jellis,27/11/2016,2.5,3067.0,3.0,2.0,1.0,120.0,128.0,1998.0,Yarra,-37.8022,144.9954,Northern Metropolitan,4019.0,1.0,3,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
36,Abbotsford,200 Nicholson St,2,h,1012500.0,S,Nelson,28/05/2016,2.5,3067.0,2.0,1.0,0.0,182.0,82.0,1900.0,Yarra,-37.8021,144.9976,Northern Metropolitan,4019.0,0.0,2,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
37,Abbotsford,27 Charles St,2,h,1030000.0,S,Biggin,30/07/2016,2.5,3067.0,2.0,1.0,1.0,172.0,81.0,1930.0,Yarra,-37.8086,144.9946,Northern Metropolitan,4019.0,1.0,2,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
38,Abbotsford,132 Vere St,3,h,1000000.0,SP,Biggin,8/04/2017,2.5,3067.0,3.0,1.0,0.0,198.0,98.0,1900.0,Yarra,-37.8025,144.9939,Northern Metropolitan,4019.0,0.0,3,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
39,Abbotsford,6/205 Gipps St,2,u,870000.0,S,Biggin,20/05/2017,2.5,3067.0,2.0,2.0,1.0,0.0,86.0,2013.0,Yarra,-37.8055,144.9961,Northern Metropolitan,4019.0,1.0,2,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
40,Abbotsford,24 Cooke St,2,h,1050000.0,S,Jellis,29/04/2017,2.5,3067.0,2.0,1.0,0.0,129.0,128.0,1890.0,Yarra,-37.8099,145.0027,Northern Metropolitan,4019.0,0.0,2,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
41,Abbotsford,198 Gipps St,2,h,1242000.0,S,Nelson,29/04/2017,2.5,3067.0,2.0,1.0,1.0,249.0,98.0,1940.0,Yarra,-37.8052,144.9963,Northern Metropolitan,4019.0,1.0,2,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
42,Abbotsford,22 Lulie St,3,h,1165000.0,S,Jellis,29/04/2017,2.5,3067.0,3.0,2.0,0.0,92.0,114.0,1888.0,Yarra,-37.797,144.9957,Northern Metropolitan,4019.0,0.0,3,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
43,Abbotsford,5/29 Church St,2,u,480000.0,S,hockingstuart,17/06/2017,3.0,3067.0,2.0,1.0,1.0,601.0,64.0,1970.0,Yarra,-37.80915,145.00066,Northern Metropolitan,4019.0,1.0,2,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
44,Abbotsford,14/205 Gipps St,2,u,750000.0,SP,Jellis,17/06/2017,3.0,3067.0,2.0,1.0,1.0,2379.0,69.0,2013.0,Yarra,-37.80554,144.99612,Northern Metropolitan,4019.0,1.0,2,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
45,Abbotsford,2 Federation La,3,h,855000.0,S,Nelson,24/06/2017,3.0,3067.0,3.0,2.0,1.0,92.0,116.0,2004.0,Yarra,-37.79683,144.99586000000005,Northern Metropolitan,4019.0,1.0,3,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
46,Abbotsford,1/43 Abbotsford St,2,u,505000.0,PI,Nelson,27/05/2017,3.0,3067.0,2.0,1.0,1.0,0.0,38.0,1970.0,Yarra,-37.80206,145.00015,Northern Metropolitan,4019.0,1.0,2,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
47,Abbotsford,67 Yarra St,3,h,1402500.0,S,Jellis,27/05/2017,3.0,3067.0,3.0,1.0,1.0,270.0,101.0,1960.0,Yarra,-37.8023,144.99615,Northern Metropolitan,4019.0,1.0,3,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
48,Abbotsford,21/659 Victoria St,2,u,550000.0,S,hockingstuart,8/07/2017,3.0,3067.0,2.0,1.0,1.0,1521.0,,1969.0,Yarra,-37.8114,145.01163,Northern Metropolitan,4019.0,1.0,2,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
49,Abbotsford,143 Charles St,3,h,1635000.0,S,Nelson,12/08/2017,3.0,3067.0,3.0,1.0,0.0,142.0,130.0,1880.0,Yarra,-37.80359,144.99538,Northern Metropolitan,4019.0,0.0,3,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
50,Abbotsford,10 James St,2,h,940000.0,S,Biggin,12/08/2017,3.0,3067.0,2.0,1.0,0.0,424.0,,1969.0,Yarra,-37.80911,144.99338999999995,Northern Metropolitan,4019.0,0.0,2,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
51,Abbotsford,17 Valiant St,3,h,1375000.0,S,hockingstuart,12/08/2017,3.0,3067.0,3.0,1.0,0.0,299.0,,1969.0,Yarra,-37.80125,144.99926000000005,Northern Metropolitan,4019.0,0.0,3,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
52,Abbotsford,1/50 Valiant St,4,t,1525000.0,S,Jellis,12/08/2017,3.0,3067.0,4.0,2.0,2.0,102.0,,1969.0,Yarra,-37.801159999999996,145.00066,Northern Metropolitan,4019.0,2.0,4,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
53,Abbotsford,101 Charles St,2,h,911000.0,S,Purplebricks,22/07/2017,3.0,3067.0,2.0,1.0,0.0,141.0,,1969.0,Yarra,-37.805859999999996,144.99499,Northern Metropolitan,4019.0,0.0,2,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
54,Abbotsford,133 Yarra St,2,h,1190000.0,S,Biggin,22/07/2017,3.0,3067.0,2.0,2.0,1.0,147.0,175.0,2000.0,Yarra,-37.80269000000001,145.0001,Northern Metropolitan,4019.0,1.0,2,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
55,Abbotsford,67 Stafford St,3,h,1000000.0,PI,Biggin,19/08/2017,3.0,3067.0,3.0,1.0,2.0,196.0,,1900.0,Moreland,-37.800940000000004,144.99569,Northern Metropolitan,4019.0,2.0,3,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
56,Airport West,154 Halsey Rd,3,t,840000.0,PI,Nelson,3/09/2016,13.5,3042.0,3.0,2.0,1.0,303.0,225.0,2016.0,Moonee Valley,-37.718,144.878,Western Metropolitan,3464.0,1.0,3,3042.0,35,81.57142857142857,52.77771684108724,0,264,65.0,37.665306122448975
57,Airport West,50 Bedford St,3,h,730000.0,VB,Nelson,3/12/2016,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464.0,1.0,3,3042.0,35,81.57142857142857,52.77771684108724,0,264,65.0,37.665306122448975
58,Airport West,50 Bedford St,3,h,770000.0,SP,Nelson,4/03/2017,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464.0,1.0,3,3042.0,35,81.57142857142857,52.77771684108724,0,264,65.0,37.665306122448975
59,Airport West,23 Hart St,2,h,603000.0,S,Nelson,4/03/2017,13.5,3042.0,2.0,1.0,1.0,272.0,84.0,1950.0,Moonee Valley,-37.7294,144.888,Western Metropolitan,3464.0,1.0,2,3042.0,35,81.57142857142857,52.77771684108724,0,264,65.0,37.665306122448975
60,Airport West,1/80 Hawker St,3,t,700000.0,S,Brad,4/03/2017,13.5,3042.0,3.0,2.0,2.0,239.0,134.0,2009.0,Moonee Valley,-37.7218,144.8837,Western Metropolitan,3464.0,2.0,3,3042.0,35,81.57142857142857,52.77771684108724,0,264,65.0,37.665306122448975
61,Airport West,1/37 Hillside Gr,3,h,600000.0,S,Maddison,4/03/2017,13.5,3042.0,2.0,1.0,1.0,290.0,116.0,1980.0,Moonee Valley,-37.7273,144.8744,Western Metropolitan,3464.0,1.0,3,3042.0,35,81.57142857142857,52.77771684108724,0,264,65.0,37.665306122448975
62,Airport West,2/49 McIntosh St,2,u,500000.0,VB,Barry,4/03/2017,13.5,3042.0,2.0,1.0,1.0,168.0,86.0,2011.0,Moonee Valley,-37.7215,144.8864,Western Metropolitan,3464.0,1.0,2,3042.0,35,81.57142857142857,52.77771684108724,0,264,65.0,37.665306122448975
63,Airport West,54 Marshall Rd,3,h,720000.0,S,Barry,6/08/2016,13.5,3042.0,2.0,1.0,1.0,620.0,,1969.0,Moonee Valley,-37.7173,144.8872,Western Metropolitan,3464.0,1.0,3,3042.0,35,81.57142857142857,52.77771684108724,0,264,65.0,37.665306122448975
64,Airport West,36 Roberts Rd,4,h,785000.0,S,Considine,6/08/2016,13.5,3042.0,3.0,1.0,2.0,597.0,127.0,1969.0,Moonee Valley,-37.7259,144.8792,Western Metropolitan,3464.0,2.0,4,3042.0,35,81.57142857142857,52.77771684108724,0,264,65.0,37.665306122448975
65,Airport West,2/252 Parer Rd,2,t,450000.0,S,Barry,7/05/2016,13.5,3042.0,2.0,1.0,1.0,110.0,90.0,2015.0,Moonee Valley,-37.7216,144.871,Western Metropolitan,3464.0,1.0,2,3042.0,35,81.57142857142857,52.77771684108724,0,264,65.0,37.665306122448975
66,Airport West,3/19 Hart St,2,u,515000.0,S,Barry,7/11/2016,13.5,3042.0,2.0,1.0,1.0,141.0,73.0,2013.0,Moonee Valley,-37.7298,144.8883,Western Metropolitan,3464.0,1.0,2,3042.0,35,81.57142857142857,52.77771684108724,0,264,65.0,37.665306122448975
67,Airport West,2/62 Clydesdale Rd,2,u,530000.0,S,Nelson,10/09/2016,13.5,3042.0,2.0,1.0,1.0,120.0,94.0,2012.0,Moonee Valley,-37.7234,144.8792,Western Metropolitan,3464.0,1.0,2,3042.0,35,81.57142857142857,52.77771684108724,0,264,65.0,37.665306122448975
68,Airport West,3 Deidre Ct,3,h,895000.0,PI,Rendina,10/09/2016,13.5,3042.0,3.0,1.0,6.0,1063.0,133.0,1975.0,Moonee Valley,-37.7249,144.8728,Western Metropolitan,3464.0,mas de 4,3,3042.0,35,81.57142857142857,52.77771684108724,0,264,65.0,37.665306122448975
69,Airport West,13 Etzel St,3,h,805000.0,S,Nelson,10/12/2016,13.5,3042.0,3.0,1.0,1.0,0.0,105.0,1950.0,Moonee Valley,-37.7217,144.8783,Western Metropolitan,3464.0,1.0,3,3042.0,35,81.57142857142857,52.77771684108724,0,264,65.0,37.665306122448975
70,Airport West,1/43 Cameron St,3,u,752000.0,S,Nelson,11/02/2017,13.5,3042.0,3.0,1.0,1.0,265.0,130.0,1993.0,Moonee Valley,-37.7302,144.8855,Western Metropolitan,3464.0,1.0,3,3042.0,35,81.57142857142857,52.77771684108724,0,264,65.0,37.665306122448975
71,Airport West,145a Victory Rd,2,u,440000.0,S,Barry,13/08/2016,13.5,3042.0,2.0,1.0,1.0,192.0,,1969.0,Moonee Valley,-37.7177,144.8787,Western Metropolitan,3464.0,1.0,2,3042.0,35,81.57142857142857,52.77771684108724,0,264,65.0,37.665306122448975
72,Airport West,241 Parer Rd,5,h,755000.0,PI,Propertyau,14/05/2016,13.5,3042.0,3.0,2.0,2.0,596.0,,1969.0,Moonee Valley,-37.7248,144.8699,Western Metropolitan,3464.0,2.0,mas de 4,3042.0,35,81.57142857142857,52.77771684108724,0,264,65.0,37.665306122448975
73,Airport West,2/40 Earl St,3,t,700000.0,PI,Brad,15/10/2016,13.5,3042.0,3.0,2.0,2.0,165.0,133.0,2009.0,Moonee Valley,-37.727,144.887,Western Metropolitan,3464.0,2.0,3,3042.0,35,81.57142857142857,52.77771684108724,0,264,65.0,37.665306122448975
74,Airport West,180 Parer Rd,3,h,830000.0,S,Barry,16/04/2016,13.5,3042.0,3.0,1.0,2.0,971.0,113.0,1960.0,Moonee Valley,-37.7186,144.876,Western Metropolitan,3464.0,2.0,3,3042.0,35,81.57142857142857,52.77771684108724,0,264,65.0,37.665306122448975
75,Airport West,4/54 Hawker St,2,u,462500.0,S,Barry,16/07/2016,13.5,3042.0,2.0,1.0,1.0,164.0,,2003.0,Moonee Valley,-37.7218,144.8863,Western Metropolitan,3464.0,1.0,2,3042.0,35,81.57142857142857,52.77771684108724,0,264,65.0,37.665306122448975
76,Airport West,43 Hillside Gr,3,h,670000.0,SP,Barry,16/07/2016,13.5,3042.0,3.0,2.0,2.0,657.0,,1969.0,Moonee Valley,-37.7269,144.8742,Western Metropolitan,3464.0,2.0,3,3042.0,35,81.57142857142857,52.77771684108724,0,264,65.0,37.665306122448975
77,Airport West,174 Parer Rd,2,h,675000.0,S,Barry,16/07/2016,13.5,3042.0,2.0,1.0,1.0,612.0,100.0,1975.0,Moonee Valley,-37.7187,144.8765,Western Metropolitan,3464.0,1.0,2,3042.0,35,81.57142857142857,52.77771684108724,0,264,65.0,37.665306122448975
78,Airport West,138 Victory Rd,3,h,1042000.0,S,Nelson,16/07/2016,13.5,3042.0,3.0,2.0,5.0,612.0,174.0,1950.0,Moonee Valley,-37.7173,144.8796,Western Metropolitan,3464.0,mas de 4,3,3042.0,35,81.57142857142857,52.77771684108724,0,264,65.0,37.665306122448975
79,Airport West,75 King St,3,h,910000.0,S,McDonald,17/09/2016,13.5,3042.0,3.0,1.0,1.0,775.0,,1969.0,Moonee Valley,-37.7231,144.8835,Western Metropolitan,3464.0,1.0,3,3042.0,35,81.57142857142857,52.77771684108724,0,264,65.0,37.665306122448975
80,Airport West,6 Kittyhawk St,4,h,773000.0,S,Brad,17/09/2016,13.5,3042.0,5.0,3.0,4.0,531.0,309.0,1980.0,Moonee Valley,-37.7263,144.8679,Western Metropolitan,3464.0,4.0,4,3042.0,35,81.57142857142857,52.77771684108724,0,264,65.0,37.665306122448975
81,Airport West,478 Fullarton Rd,3,h,810000.0,PI,Barry,18/03/2017,13.5,3042.0,3.0,3.0,2.0,555.0,192.0,1980.0,Moonee Valley,-37.7285,144.8694,Western Metropolitan,3464.0,2.0,3,3042.0,35,81.57142857142857,52.77771684108724,0,264,65.0,37.665306122448975
82,Airport West,144 Marshall Rd,3,h,715000.0,S,Rendina,18/03/2017,13.5,3042.0,3.0,2.0,2.0,422.0,126.0,1995.0,Moonee Valley,-37.7164,144.8792,Western Metropolitan,3464.0,2.0,3,3042.0,35,81.57142857142857,52.77771684108724,0,264,65.0,37.665306122448975
83,Airport West,106 Parer Rd,3,h,790000.0,S,Nelson,18/03/2017,13.5,3042.0,3.0,1.0,3.0,614.0,,1969.0,Moonee Valley,-37.7194,144.8827,Western Metropolitan,3464.0,3.0,3,3042.0,35,81.57142857142857,52.77771684108724,0,264,65.0,37.665306122448975
84,Airport West,3/7 South Rd,3,t,540000.0,SP,Nelson,18/06/2016,13.5,3042.0,2.0,2.0,1.0,161.0,101.0,2010.0,Moonee Valley,-37.7231,144.8802,Western Metropolitan,3464.0,1.0,3,3042.0,35,81.57142857142857,52.77771684108724,0,264,65.0,37.665306122448975
85,Airport West,37 North St,3,t,825000.0,SP,Barry,19/11/2016,13.5,3042.0,3.0,2.0,1.0,293.0,102.0,1960.0,Moonee Valley,-37.72,144.8776,Western Metropolitan,3464.0,1.0,3,3042.0,35,81.57142857142857,52.77771684108724,0,264,65.0,37.665306122448975
86,Airport West,10 Hilbert Rd,3,h,685000.0,S,Barry,22/05/2016,13.5,3042.0,3.0,1.0,1.0,579.0,113.0,1975.0,Moonee Valley,-37.7226,144.8733,Western Metropolitan,3464.0,1.0,3,3042.0,35,81.57142857142857,52.77771684108724,0,264,65.0,37.665306122448975
87,Airport West,110 Halsey Rd,3,h,805000.0,S,Barry,22/08/2016,13.5,3042.0,3.0,1.0,1.0,623.0,,1969.0,Moonee Valley,-37.7184,144.882,Western Metropolitan,3464.0,1.0,3,3042.0,35,81.57142857142857,52.77771684108724,0,264,65.0,37.665306122448975
88,Airport West,2/13 North St,2,u,510000.0,S,Nelson,22/08/2016,13.5,3042.0,2.0,1.0,1.0,141.0,76.0,1969.0,Moonee Valley,-37.7202,144.8797,Western Metropolitan,3464.0,1.0,2,3042.0,35,81.57142857142857,52.77771684108724,0,264,65.0,37.665306122448975
89,Airport West,105a Victory Rd,3,h,612000.0,S,Nelson,22/08/2016,13.5,3042.0,3.0,2.0,1.0,212.0,,1969.0,Moonee Valley,-37.7181,144.8824,Western Metropolitan,3464.0,1.0,3,3042.0,35,81.57142857142857,52.77771684108724,0,264,65.0,37.665306122448975
90,Airport West,117 Marshall Rd,3,h,662000.0,S,Brad,23/04/2016,13.5,3042.0,3.0,1.0,2.0,612.0,,1969.0,Moonee Valley,-37.7169,144.8815,Western Metropolitan,3464.0,2.0,3,3042.0,35,81.57142857142857,52.77771684108724,0,264,65.0,37.665306122448975
